"productgroup","item_id","rating"
"Book","3462034480",5.0
"Book","3551551936",5.0
"Book","3551551677",5.0
"Book","3596800641",5.0
"Book","3791504673",5.0
"Music_CD","B0007GFG5Q",5.0
"Music_CD","B000024A70",5.0
"Music_CD","B00005B5MC",5.0
"Music_CD","B0000A01L6",5.0
"Music_CD","B000C5RRQI",5.0
"DVD","B00013YWH8",5.0
"DVD","B000BRY67A",5.0
"DVD","B000BSNH1U",5.0
"DVD","B00005T7AQ",5.0
"DVD","B00008AWUZ",5.0
