"item_id","title","rating","salesranking","image","productgroup"
"3937825002","Dreiecksbeziehungen Teil 1: Flotter Dreier Sex - Erotische Geschichten und sexy Texte vom Triosex mit zwei Frauen und einem Mann",3.4,2183,"http://images.amazon.com/images/P/3937825002.01._SCMZZZZZZZ_.jpg","Book"
"3937825045","Erotische Ortswechsel - Ein Erotik Hrbuch voller anregender Geschichten ber Sex an ungewhnlichen Orten",2.6,271,"http://images.amazon.com/images/P/3937825045.03._SCMZZZZZZZ_.jpg","Book"
"3937825061","Sex Toys. Erotische Geschichten und Liebesspiele rund ums Spielzeug fr Erwachsene. Ein Erotik Hrbuch",3.6,2073,"http://images.amazon.com/images/P/3937825061.03._SCMZZZZZZZ_.jpg","Book"
"3937825134","Sex am Arbeitsplatz - Erotisches Hrbuch ber reizvolle Abenteuer von Menschen, die miteinander arbeiten",4.2,3521,"http://images.amazon.com/images/P/3937825134.03._SCMZZZZZZZ_.jpg","Book"
"3937825177","Erotik Anal - Erotische Kurzgeschichten ber exstatische Liebesabenteuer der etwas anderen Art",4.2,1875,"http://images.amazon.com/images/P/3937825177.03._SCMZZZZZZZ_.jpg","Book"
"3980710653","Wer hat Angst vor'm schwarzen Mann ...?",4.2,2083,"http://images.amazon.com/images/P/3980710653.03._SCMZZZZZZZ_.jpg","Book"
"398081890X","Progressive Muskelentspannung nach Jacobson, 1 Audio-CD",4.0,1385,"http://images.amazon.com/images/P/398081890X.03._SCMZZZZZZZ_.jpg","Book"
"B000001G4R","Ungarische Tänze",4.0,7355,"http://images.amazon.com/images/P/B000001G4R.03._SCMZZZZZZZ_.jpg","Music_CD"
"B000002VC5","I Robot",3.3,50455,"http://images.amazon.com/images/P/B000002VC5.01._SCMZZZZZZZ_.jpg","Music_CD"
"B000003FOE","A Classical Case",3.7,34128,"http://images.amazon.com/images/P/B000003FOE.03._SCMZZZZZZZ_.jpg","Music_CD"
"B0000041Q2","Verdi: Rigoletto (Gesamtaufnahme) (ital.)",3.8,6321,"http://images.amazon.com/images/P/B0000041Q2.03._SCMZZZZZZZ_.jpg","Music_CD"
"B000005E4I","Klavierstücke op. 116-119",3.7,22359,"http://images.amazon.com/images/P/B000005E4I.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00001SIBN","Klavierkonzert 4",4.0,10128,"http://images.amazon.com/images/P/B00001SIBN.03._SCMZZZZZZZ_.jpg","Music_CD"
"B0000241WM","Von ganzem Herzen",3.7,16494,"http://images.amazon.com/images/P/B0000241WM.03._SCMZZZZZZZ_.gif","Music_CD"
"B0000247K8","Kuschelklassik Vol. 3",3.0,11364,"http://images.amazon.com/images/P/B0000247K8.03._SCMZZZZZZZ_.jpg","Music_CD"
"B0000247Q5","Eloquence - Malaguena (Spanische Gitarrenmusik)",3.0,4380,"http://images.amazon.com/images/P/B0000247Q5.03._SCMZZZZZZZ_.gif","Music_CD"
"B000024BDU","Duets I",4.0,12372,"http://images.amazon.com/images/P/B000024BDU.03._SCMZZZZZZZ_.jpg","Music_CD"
"B0000256TO","I am..",4.0,15780,"http://images.amazon.com/images/P/B0000256TO.03._SCMZZZZZZZ_.jpg","Music_CD"
"B000025SZ0","Good As I Been to You",3.0,29721,"http://images.amazon.com/images/P/B000025SZ0.03._SCMZZZZZZZ_.jpg","Music_CD"
