"item_id","title","rating","salesranking","image","productgroup"
"3110181460","Allgemeine und Anorganische Chemie",4.6,3355,"http://images.amazon.com/images/P/3110181460.03._SCMZZZZZZZ_.jpg","Book"
"3120101702","Vorsicht Bildschirm!",3.3,2703,"http://images.amazon.com/images/P/3120101702.01._SCMZZZZZZZ_.jpg","Book"
"3125611881","PONS Powerkurs fr Anfnger Italienisch, 1 Audio-CD m. Lehrbuch",5.0,1625,"http://ec1.images-amazon.com/images/P/3125611881.03._SCMZZZZZZZ_.jpg","Book"
"3134843080","Chemie",4.4,776,"http://images.amazon.com/images/P/3134843080.01._SCMZZZZZZZ_.jpg","Book"
"3170189263","Die Kunst der Selbstmotivierung",4.0,6468,"http://images.amazon.com/images/P/3170189263.01._SCMZZZZZZZ_.jpg","Book"
"3190028516","Englisch ganz leicht zum Auffrischen. 4 Audio-CDs m. bungsbuch u. Begleitheft",2.8,1046,"http://ec1.images-amazon.com/images/P/3190028516.03._SCMZZZZZZZ_.jpg","Book"
"3190028559","Englisch ganz leicht. NEU. Mit bungsbuch, Begleitheft, 3 Audio-CDs und Satztrainer auf Audio-CD.",5.0,270,"http://images.amazon.com/images/P/3190028559.03._SCMZZZZZZZ_.jpg","Book"
"3190033137","Französisch ganz leicht zum Auffrischen.  4 Audio-CDs m. Übungsbuch u. Begleitheft",3.8,4399,"http://images.amazon.com/images/P/3190033137.03._SCMZZZZZZZ_.jpg","Book"
"3190033145","Französisch ganz leicht. Neu. 4 Audio-CDs m. Übungsbuch u. Begleitheft",4.3,1162,"http://ec1.images-amazon.com/images/P/3190033145.03._SCMZZZZZZZ_.jpg","Book"
"3190041954","Spanisch ganz leicht. Neu. 3 Audio-CDs m. Übungsbuch u. Begleitheft",4.4,783,"http://images.amazon.com/images/P/3190041954.01._SCMZZZZZZZ_.jpg","Book"
"3190053588","Italienisch ganz leicht. Neu. 4 Audio-CDs m. Übungsbuch u. Begleitheft",3.2,2452,"http://images.amazon.com/images/P/3190053588.03._SCMZZZZZZZ_.jpg","Book"
"3257008767","Der kleine Nick und seine Bande.",5.0,4627,"http://images.amazon.com/images/P/3257008767.03._SCMZZZZZZZ_.jpg","Book"
"3257008775","Der kleine Nick und die Schule",5.0,881,"http://images.amazon.com/images/P/3257008775.03._SCMZZZZZZZ_.jpg","Book"
"3257008945","Der kleine Nick und die Ferien",5.0,3664,"http://images.amazon.com/images/P/3257008945.03._SCMZZZZZZZ_.jpg","Book"
"3401023845","Perfect Copy",3.2,4032,"http://images.amazon.com/images/P/3401023845.03._SCMZZZZZZZ_.jpg","Book"
"3401024434","Hexe Lilli und der Weihnachtszauber",0.0,635,"http://ec1.images-amazon.com/images/P/3401024434.03._SCMZZZZZZZ_.jpg","Book"
"3401027050","Kein Wort zu niemandem",5.0,2304,"http://images.amazon.com/images/P/3401027050.03._SCMZZZZZZZ_.jpg","Book"
"3401041134","Mein 24. Dezember",5.0,1822,"http://images.amazon.com/images/P/3401041134.03._SCMZZZZZZZ_.jpg","Book"
"3401044915","Hexe Lilli stellt die Schule auf den Kopf",5.0,2094,"http://images.amazon.com/images/P/3401044915.01._SCMZZZZZZZ_.jpg","Book"
"3401044923","Hexe Lilli macht Zauberquatsch",0.0,2060,"http://images.amazon.com/images/P/3401044923.01._SCMZZZZZZZ_.jpg","Book"
"3401045512","Hexe Lilli und der Weihnachtszauber",0.0,775,"http://images.amazon.com/images/P/3401045512.03._SCMZZZZZZZ_.jpg","Book"
"3401045571","Eine Weihnachtsgeschichte",4.6,1895,"http://images.amazon.com/images/P/3401045571.03._SCMZZZZZZZ_.jpg","Book"
"3401052330","Alles ber Sterne und Planeten",5.0,1827,"http://images.amazon.com/images/P/3401052330.03._SCMZZZZZZZ_.jpg","Book"
"3401053698","Whisper",5.0,197,"http://images.amazon.com/images/P/3401053698.03._SCMZZZZZZZ_.jpg","Book"
"340105371X","Hexe Lilli und der schreckhafte Wikinger",0.0,1906,"http://images.amazon.com/images/P/340105371X.03._SCMZZZZZZZ_.jpg","Book"
"3401054457","Allgemeinbildung, Das musst du wissen",5.0,1121,"http://images.amazon.com/images/P/3401054457.03._SCMZZZZZZZ_.jpg","Book"
"3401055712","Allgemeinbildung Naturwissenschaften, Das musst du wissen",4.0,4583,"http://images.amazon.com/images/P/3401055712.01._SCMZZZZZZZ_.jpg","Book"
"3401057146","Level 4.2, Zurück in der Stadt der Kinder",5.0,5302,"http://ec1.images-amazon.com/images/P/3401057146.01._SCMZZZZZZZ_.jpg","Book"
"3401057413","Galilei und der erste Krieg der Sterne",5.0,3264,"http://images.amazon.com/images/P/3401057413.03._SCMZZZZZZZ_.jpg","Book"
"340105743X","Einstein und die Zeitmaschinen",5.0,1641,"http://images.amazon.com/images/P/340105743X.03._SCMZZZZZZZ_.jpg","Book"
"3401058207","Hexe Lilli auf der Jagd nach dem verlorenen Schatz, Sammlerausg.",0.0,4783,"http://images.amazon.com/images/P/3401058207.03._SCMZZZZZZZ_.jpg","Book"
"3401058371","James Bond, Stille Wasser sind tödlich",3.7,4714,"http://images.amazon.com/images/P/3401058371.03._SCMZZZZZZZ_.jpg","Book"
"340105841X","Das Geheimnis des Kartenmachers",5.0,684,"http://images.amazon.com/images/P/340105841X.03._SCMZZZZZZZ_.jpg","Book"
"3401058827","Der Sunshine-Chip",5.0,3296,"http://images.amazon.com/images/P/3401058827.03._SCMZZZZZZZ_.jpg","Book"
"3401074210","Hexe Lilli zaubert Hausaufgaben",4.8,707,"http://images.amazon.com/images/P/3401074210.03._SCMZZZZZZZ_.jpg","Book"
"3401075446","Hexe Lilli feiert Geburtstag",4.5,2819,"http://images.amazon.com/images/P/3401075446.03._SCMZZZZZZZ_.jpg","Book"
"3401081853","Hexe Lilli und der Vampir mit dem Wackelzahn",5.0,599,"http://images.amazon.com/images/P/3401081853.03._SCMZZZZZZZ_.jpg","Book"
"3401086472","Hexe Lilli und der verrckte Ritter",5.0,2792,"http://images.amazon.com/images/P/3401086472.03._SCMZZZZZZZ_.jpg","Book"
"3401086723","Mein dicker Mandala-Malblock, Trumen und Entspannen",0.0,3665,"http://images.amazon.com/images/P/3401086723.03._SCMZZZZZZZ_.jpg","Book"
